date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:02	115/115	---MCZ	200	added ('OK')	text/plain	date:Wed,%2003%20Jan%202024%2016:25:01%20GMT	https://specter.solutions/robots.txt		(from )
17:25:02	191036/-1	---M--	200	added ('OK')	text/html	date:Wed,%2003%20Jan%202024%2016:25:01%20GMT	https://specter.solutions/	/home/kim/websites/specter/specter.solutions/index.html	(from )
17:25:03	5842/5842	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Jan%202024%2016:25:03%20GMT	https://gmpg.org/xfn/11	/home/kim/websites/specter/gmpg.org/xfn/11.html	(from https://specter.solutions/)
17:25:05	440/440	---MCZ	200	added ('OK')	text/css	etag:W/%226399003f-1b8%22	https://specter.solutions/wp-content/plugins/minmax-quantity-for-woocommerce/css/shop.css?ver=1.3.2.7	/home/kim/websites/specter/specter.solutions/wp-content/plugins/minmax-quantity-for-woocommerce/css/shop49b6.css	(from https://specter.solutions/)
17:25:05	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jan%202024%2016:25:05%20GMT	http://fonts.googleapis.com/	/home/kim/websites/specter/fonts.googleapis.com/index.html	(from https://specter.solutions/)
17:25:05	27242/27242	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jan%202024%2016:25:05%20GMT	http://use.fontawesome.com/	/home/kim/websites/specter/use.fontawesome.com/index.html	(from https://specter.solutions/)
17:25:07	71746/71746	---MCZ	200	added ('OK')	text/css	etag:W/%22622e6c7f-11842%22	https://specter.solutions/wp-content/themes/astra/assets/css/minified/style.min.css?ver=3.7.9	/home/kim/websites/specter/specter.solutions/wp-content/themes/astra/assets/css/minified/style.minc480.css	(from https://specter.solutions/)
17:25:09	750/750	---MC-	200	added ('OK')	application/rss+xml	etag:%229a00df8f54859554c8c60229bdf45018%22	https://specter.solutions/comments/feed/	/home/kim/websites/specter/specter.solutions/comments/feed/index.html	(from https://specter.solutions/)
17:25:09	190551/190551	---MC-	200	added ('OK')	application/rss+xml	etag:%229a00df8f54859554c8c60229bdf45018%22	https://specter.solutions/feed/	/home/kim/websites/specter/specter.solutions/feed/index.html	(from https://specter.solutions/)
17:25:09	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22622e6c7f-ce8%22	https://specter.solutions/wp-content/themes/astra/assets/fonts/astra.woff	/home/kim/websites/specter/specter.solutions/wp-content/themes/astra/assets/fonts/astra.woff	(from https://specter.solutions/)
17:25:10	412/412	---MC-	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202024%2016:25:10%20GMT	https://fonts.googleapis.com/css?family=Roboto%3A400%2C500%2C&display=fallback&ver=3.7.9	/home/kim/websites/specter/fonts.googleapis.com/csse3f3.css	(from https://specter.solutions/)
17:25:12	110035/110035	---MCZ	200	added ('OK')	text/css	etag:W/%22654dd74a-1add3%22	https://specter.solutions/wp-includes/css/dist/block-library/style.min.css?ver=6.4.2	/home/kim/websites/specter/specter.solutions/wp-includes/css/dist/block-library/style.min1e39.css	(from https://specter.solutions/)
17:25:13	10435/10435	---MCZ	200	added ('OK')	text/css	etag:W/%2263ec1238-28c3%22	https://specter.solutions/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.4.3	/home/kim/websites/specter/specter.solutions/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-styleceb1.css	(from https://specter.solutions/)
17:25:14	255142/255142	---MCZ	200	added ('OK')	text/css	etag:W/%2263ec1238-3e4a6%22	https://specter.solutions/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=9.4.3	/home/kim/websites/specter/specter.solutions/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-styleceb1.css	(from https://specter.solutions/)
